"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1","1","1","848","1","1.25","272","1.76330959647338","3.09060252390863","5.44311034877073","2.17789681420919","2.72246683680624"
"2","1","1","871","1","1.5","281","1.88069080984381","4.28479211290748","8.08169857666812","2.42964590551847","3.64432140415373"
"3","1","0","927","1","1.19","270","1.93653756416239","3.4085083419526","6.59470660755974","2.46781297645265","2.9453818055314"
"4","1","1","899","0","1.2","233","1.41806257201099","1.78563732884092","2.53239002582521","1.82655030628514","1.52222304667211"
"5","1","1","1352","1","1.25","22","1.75894851568486","4.08707289760468","7.20917209466828","2.52689089977804","3.15867624223602"
"6","1","1","955","0","1.5","62","2.18067277793482","1.05917758332912","2.06098736862405","1.7670619649729","1.17802146523565"
"7","1","0","915","0","1.11","40","1.60603693884959","1.33990231833984","2.15641422672673","1.57879056284725","1.42596114096734"
"8","1","0","856","1","1.11","5","1.67833973469322","3.25405953332424","5.47124701145086","2.30826525708794","2.57207371257921"
"9","1","0","1112","1","1.5","282","1.9617815883165","4.0876897992459","8.02270693857403","2.39200863930886","3.58784525891876"
"10","1","1","1252","1","1.25","19","2.61220077915644","3.64607950336849","9.52184273232724","2.90675093890263","3.6335803669056"
"11","1","1","795","1","1.5","29","1.88121472722386","3.51339435673497","6.62170875873186","2.16726110863427","3.25091159948753"
"12","1","1","887","1","2","288","2.07439995544913","4.03223869123406","8.38662207357859","2.07446883602739","4.14899327183533"
"13","1","1","1100","0","1.5","63","1.203550473898","2.14693796582311","2.58029052593111","1.9999142881632","1.33336701697656"
"14","1","1","866","1","1.2","17","1.83513093602936","2.82404235440673","5.18127206002665","2.17357249157985","2.6084607712766"
"15","1","1","825","1","2","287","2.98928488727028","4.66813914964108","13.9135151890887","2.67136363636364","5.34268224819143"
"16","1","1","761","1","1.2","267","2.03369371260628","2.68037248174994","5.46383727620401","2.25131782945736","2.70156564223409"
"17","1","1","862","0","1.14","226","2.02702702702703","1.23003170333365","2.49622320838448","1.6969696969697","1.48484848484848"
"18","1","1","885","1","1.19","18","1.88997176427726","3.14687699850778","5.9421872724625","2.30725987793126","2.75377257359611"
"19","1","0","1644","1","1.5","278","2.57908078915463","2.58492945061543","6.64615180993978","2.14425373134328","3.21638121481341"
"20","1","1","819","0","1.11","219","1.78168724536201","1.48324198384355","2.64663192709449","1.76141732283465","1.58534547581252"
"21","1","0","624","0","1.25","56","1.46407193387059","1.82483207388749","2.66249660048953","1.88905829596413","1.51117645379543"
"22","1","0","992","1","1.5","279","1.87605682477382","4.90321846060422","9.18958167423994","2.65040148239654","3.97547122706279"
"23","1","0","769","0","1.11","220","1.75708054309762","1.67860517237591","2.94716380031858","1.85232498722534","1.67310887625711"
"24","1","1","603","1","1.5","26","2.13653474412453","3.9225982308167","8.37725647510247","2.46201754385965","3.69296922991009"
"25","1","1","508","1","1.5","277","1.54163050096514","3.77649388165796","5.79808258346649","1.99664006719866","2.99497071555895"
